Time: 22.003, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 6, CountTotal: 2343, HARQErrorRate: 0
Time: 22.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 9, CountTotal: 3530, HARQErrorRate: 0
Time: 22.005, Acid: 1, HarqErrorSum: 2, HarqErrorRateUlCount: 166, SumTotal: 9, CountTotal: 2936, HARQErrorRate: 0.0120482
Time: 23, Acid: 0, HarqErrorSum: 2, HarqErrorRateUlCount: 166, SumTotal: 11, CountTotal: 3696, HARQErrorRate: 0.0120482
Time: 23.001, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 9, CountTotal: 3102, HARQErrorRate: 0
Time: 23.002, Acid: 2, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 9, CountTotal: 3072, HARQErrorRate: 0.00598802
Time: 23.003, Acid: 3, HarqErrorSum: 3, HarqErrorRateUlCount: 167, SumTotal: 7, CountTotal: 2707, HARQErrorRate: 0.0179641
Time: 23.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 8, CountTotal: 2532, HARQErrorRate: 0
Time: 23.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 6, CountTotal: 2510, HARQErrorRate: 0
Time: 24, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 11, CountTotal: 3862, HARQErrorRate: 0
Time: 24.001, Acid: 1, HarqErrorSum: 3, HarqErrorRateUlCount: 165, SumTotal: 12, CountTotal: 3267, HARQErrorRate: 0.0181818
Time: 24.002, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 9, CountTotal: 3237, HARQErrorRate: 0
Time: 24.003, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 7, CountTotal: 2872, HARQErrorRate: 0
Time: 24.004, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 8, CountTotal: 2697, HARQErrorRate: 0
Time: 24.005, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 6, CountTotal: 2675, HARQErrorRate: 0
Time: 25, Acid: 4, HarqErrorSum: 1, HarqErrorRateUlCount: 166, SumTotal: 9, CountTotal: 2863, HARQErrorRate: 0.0060241
Time: 25.001, Acid: 5, HarqErrorSum: 2, HarqErrorRateUlCount: 166, SumTotal: 8, CountTotal: 2841, HARQErrorRate: 0.0120482
Time: 25.002, Acid: 0, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 12, CountTotal: 4029, HARQErrorRate: 0.00598802
Time: 25.003, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 12, CountTotal: 3434, HARQErrorRate: 0
Time: 25.004, Acid: 2, HarqErrorSum: 3, HarqErrorRateUlCount: 167, SumTotal: 12, CountTotal: 3404, HARQErrorRate: 0.0179641
Time: 25.005, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 7, CountTotal: 3039, HARQErrorRate: 0
Time: 26, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 12, CountTotal: 3570, HARQErrorRate: 0
Time: 26.001, Acid: 3, HarqErrorSum: 2, HarqErrorRateUlCount: 166, SumTotal: 9, CountTotal: 3205, HARQErrorRate: 0.0120482
Time: 26.002, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 9, CountTotal: 3030, HARQErrorRate: 0
Time: 26.003, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 8, CountTotal: 3008, HARQErrorRate: 0
Time: 26.004, Acid: 0, HarqErrorSum: 3, HarqErrorRateUlCount: 167, SumTotal: 15, CountTotal: 4196, HARQErrorRate: 0.0179641
Time: 26.005, Acid: 1, HarqErrorSum: 2, HarqErrorRateUlCount: 167, SumTotal: 14, CountTotal: 3601, HARQErrorRate: 0.011976
Time: 27, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 15, CountTotal: 4362, HARQErrorRate: 0
Time: 27.001, Acid: 1, HarqErrorSum: 1, HarqErrorRateUlCount: 166, SumTotal: 15, CountTotal: 3767, HARQErrorRate: 0.0060241
Time: 27.002, Acid: 2, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 13, CountTotal: 3737, HARQErrorRate: 0.00598802
Time: 27.003, Acid: 3, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 10, CountTotal: 3372, HARQErrorRate: 0.00598802
Time: 27.004, Acid: 4, HarqErrorSum: 2, HarqErrorRateUlCount: 167, SumTotal: 11, CountTotal: 3197, HARQErrorRate: 0.011976
Time: 27.005, Acid: 5, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 9, CountTotal: 3175, HARQErrorRate: 0.00598802
Time: 28, Acid: 4, HarqErrorSum: 3, HarqErrorRateUlCount: 166, SumTotal: 14, CountTotal: 3363, HARQErrorRate: 0.0180723
Time: 28.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 9, CountTotal: 3341, HARQErrorRate: 0
