Time: 14.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 76, SumTotal: 0, CountTotal: 1091, HARQErrorRate: 0
Time: 14.017, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1089, HARQErrorRate: 0
Time: 14.018, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 76, SumTotal: 0, CountTotal: 1099, HARQErrorRate: 0
Time: 15, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 1179, HARQErrorRate: 0
Time: 15.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 78, SumTotal: 0, CountTotal: 1167, HARQErrorRate: 0
Time: 15.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 1171, HARQErrorRate: 0
Time: 15.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1160, HARQErrorRate: 0
Time: 15.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 1174, HARQErrorRate: 0
Time: 15.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 76, SumTotal: 0, CountTotal: 1168, HARQErrorRate: 0
Time: 15.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 1175, HARQErrorRate: 0
Time: 15.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 1177, HARQErrorRate: 0
Time: 16.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 81, SumTotal: 0, CountTotal: 1241, HARQErrorRate: 0
Time: 16.009, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 1253, HARQErrorRate: 0
Time: 16.01, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 1258, HARQErrorRate: 0
Time: 16.012, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 1249, HARQErrorRate: 0
Time: 16.013, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 1239, HARQErrorRate: 0
Time: 16.014, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 1250, HARQErrorRate: 0
Time: 16.015, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 1252, HARQErrorRate: 0
Time: 16.016, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 80, SumTotal: 0, CountTotal: 1259, HARQErrorRate: 0
Time: 17, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1329, HARQErrorRate: 0
Time: 17.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 72, SumTotal: 0, CountTotal: 1325, HARQErrorRate: 0
Time: 17.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 1335, HARQErrorRate: 0
Time: 17.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 1326, HARQErrorRate: 0
Time: 17.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 1336, HARQErrorRate: 0
Time: 17.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 1324, HARQErrorRate: 0
